id,question,answer,category
1,What is IDEAS?,"IDEAS (Institute of Data Engineering, Analytics and Science Foundation) is a Technology Innovation Hub established by the Indian Statistical Institute, Kolkata, under the National Mission on Interdisciplinary Cyber-Physical Systems (NM-ICPS), Department of Science and Technology (DST), Government of India.",About
2,Where is IDEAS located?,"IDEAS is located at the Indian Statistical Institute, 203 Barrackpore Trunk Road, Kolkata 700108, West Bengal, India.",Contact
3,How can I contact IDEAS?,"You can email IDEAS at office@ideas-tih.org or tih.isical@gmail.com, or call +91 6289351800 (Monday to Friday, 11 AM to 6 PM IST).",Contact
4,What is the full form of IDEAS?,"IDEAS stands for Institute of Data Engineering, Analytics and Science Foundation.",About
5,What does IDEAS do?,"IDEAS develops solutions to Data Science and Data Analytics problems. Its technologies are backed by strong expertise in Statistics, Data Science, Artificial Intelligence, and Machine Learning.",About
6,Who funds IDEAS?,"IDEAS is funded by the Department of Science and Technology (DST), Government of India, under the NM-ICPS program.",About
7,What are the ongoing programs?,Current programs include the Autumn Internship 2025 (May–July 2025) and the Online Certificate Course in Business Analytics & Machine Learning (BAML Cohort 2).,Programs
8,What upcoming events are there?,"IDEAS will host a two-day online workshop on “Demystifying LLMs & Agentic AI” on November 7–8, 2025. It is open to all AI enthusiasts.",Events
9,How can I apply for an internship?,You can check details of the Autumn Internship on the IDEAS website under “Ongoing Programs.” Registration for 2025 is closed.,Programs
10,What is the BAML course?,The Online Certificate Course in Business Analytics & Machine Learning (BAML Cohort 2) focuses on Generative AI and Large Language Models.,Programs
11,What are some other courses IDEAS offers?,IDEAS offers executive certificate programmes such as “Data-driven Approach on ESG and Sustainability for Business” in collaboration with IISWBM.,Programs
12,Is IDEAS affiliated with ISI?,"Yes, IDEAS is a Technology Innovation Hub established by the Indian Statistical Institute, Kolkata.",About
13,What are the quick links on the website?,"The quick links include Open Job Positions, Tenders / Procurement, ISI Website, NM-ICPS, Announcements, Company Statements, and Payment Link.",Website
14,What is the vision of IDEAS?,"IDEAS aims to develop data-driven technologies to address real-world challenges in science, engineering, and society through interdisciplinary collaboration.",About
15,Where can I find job openings?,Job openings are available under the “Open Job Positions” link on the IDEAS website.,Career
16,How do I access tenders or procurement info?,Tenders and procurement details can be found under the “Tenders / Procurement” section on the website.,Website
17,What are IDEAS’s contact hours?,You can contact IDEAS from Monday to Friday between 11 AM and 6 PM IST.,Contact
18,What does IDEAS specialize in?,"IDEAS specializes in solutions related to Data Science, Analytics, AI, and Machine Learning, supported by ISI’s expertise.",About
19,What are recent announcements?,Announcements include upcoming workshops and programs such as the LLMs & Agentic AI workshop and Autumn Internship updates.,News
20,How do I reach IDEAS?,"IDEAS is located on the 6th Floor of R.A. Fisher Bhavan, ISI Kolkata. You can visit during working hours or contact them via phone/email.",Contact
